frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
8,5,731.0 391.0 936.0 591.0,806.0 529.0 862.0 558.0,0.6643500328063965,JIEIUSU,0.06213916221868078
9,5,732.0 395.0 936.0 594.0,807.0 531.0 863.0 559.0,0.6347050070762634,LFI,0.15946780867877502
10,5,732.5 395.5 938.0 596.0,807.0 532.0 863.5 560.5,0,0,0
11,5,733.0 396.0 940.0 598.0,807.0 533.0 864.0 562.0,0.6516918540000916,MELS,0.2917231619358063
12,5,732.0 397.0 940.5 600.0,806.5 535.5 865.0 564.5,0,0,0
13,5,731.0 398.0 941.0 602.0,806.0 538.0 866.0 567.0,0.5987365245819092,MIKKU,0.08906995647773076
14,5,731.0 399.0 941.0 604.0,808.0 541.0 865.0 568.0,0.5777856111526489,WILU,0.07480189949274063
15,5,732.0 402.0 941.0 606.0,808.0 542.0 866.0 570.0,0.6181675791740417,WLS,0.40931482948133874
16,5,732.5 404.25 942.0 608.5,808.0 544.0 866.5 572.75,0,0,0
17,5,733.0 406.5 943.0 611.0,808.0 546.0 867.0 575.5,0,0,0
18,5,733.5 408.75 944.0 613.5,808.0 548.0 867.5 578.25,0,0,0
19,5,734.0 411.0 945.0 616.0,808.0 550.0 868.0 581.0,0.6372974514961243,ISAI,0.01401613187044859
20,5,735.0 413.0 946.0 618.0,808.0 551.0 869.0 582.0,0.6294180154800415,A,0.05771767411789441
21,5,736.0 413.0 949.0 620.0,808.0 554.0 872.0 585.0,0.6185853481292725,MFL,0.13381357986385262
22,5,735.25 414.25 949.75 622.75,809.0 556.5 872.25 587.25,0,0,0
23,5,734.5 415.5 950.5 625.5,810.0 559.0 872.5 589.5,0,0,0
24,5,733.75 416.75 951.25 628.25,811.0 561.5 872.75 591.75,0,0,0
25,5,733.0 418.0 952.0 631.0,812.0 564.0 873.0 594.0,0.6374165415763855,WELSU,0.15353282192592804
26,5,732.5 419.0 952.0 633.0,811.5 565.5 873.5 595.5,0,0,0
27,5,732.0 420.0 952.0 635.0,811.0 567.0 874.0 597.0,0.6401013731956482,HNSIESH,0.008226480456361743
28,5,732.0 420.0 954.0 638.0,813.0 569.0 875.0 599.0,0.6279773712158203,LSISU,0.2069199419904973
29,5,732.8 422.6 954.2 640.4,813.6 571.6 875.4 601.6,0,0,0
30,5,733.6 425.2 954.4 642.8,814.2 574.2 875.8 604.2,0,0,0
31,5,734.4 427.8 954.6 645.2,814.8 576.8 876.2 606.8,0,0,0
32,5,735.2 430.4 954.8 647.6,815.4 579.4 876.6 609.4,0,0,0
33,5,736.0 433.0 955.0 650.0,816.0 582.0 877.0 612.0,0.6312965750694275,WSISU,0.2447560068336215
34,5,737.0 437.0 956.0 654.0,816.0 584.0 879.0 615.0,0.6313177347183228,WSITSU,0.17614152241861583
35,5,739.0 439.0 958.0 655.0,817.0 585.0 880.0 616.0,0.6274055242538452,WSISU,0.22612737675731923
36,5,739.0 439.0 960.0 658.0,817.0 589.0 881.0 620.0,0.6315008401870728,WSLSU,0.1985243595319136
37,5,737.0 438.0 963.0 662.0,819.0 591.0 882.0 622.0,0.675565242767334,WISISU,0.4698609841536784
38,5,736.6666666666666 440.0 962.6666666666666 664.3333333333334,819.0 593.3333333333334 882.0 624.3333333333334,0,0,0
39,5,736.3333333333334 442.0 962.3333333333334 666.6666666666666,819.0 595.6666666666666 882.0 626.6666666666666,0,0,0
40,5,736.0 444.0 962.0 669.0,819.0 598.0 882.0 629.0,0.6608918905258179,IL,0.19242453500568074
41,5,736.0 446.0 962.0 671.0,818.0 599.0 882.0 631.0,0.6577602028846741,LELLSU,0.0416922554134733
42,5,738.0 450.0 964.0 675.0,819.0 603.0 883.0 633.0,0.5881893038749695,LAS,0.20079496660084484
43,5,738.0 453.0 964.0 679.0,821.0 605.0 885.0 637.0,0.6418095231056213,LSLSU,0.11710968969431486
44,5,737.0 454.0 966.0 682.0,822.0 607.0 887.0 638.0,0.6351625919342041,WSLSU,0.1368360174227311
45,5,737.0 455.0 968.0 684.0,823.0 610.0 887.0 641.0,0.6416094899177551,WISISU,0.7018707402456861
46,5,737.0 457.0 969.0 687.0,822.0 613.0 888.0 645.0,0.6609925031661987,LSIKSU,0.10916217344572947
47,5,737.0 458.0 970.0 689.0,822.0 614.0 889.0 646.0,0.662225067615509,LSIVSU,0.09377933420078598
48,5,738.0 459.0 973.0 692.0,824.0 619.0 890.0 650.0,0.6378627419471741,LAIS,0.09740319103002548
49,5,739.0 461.0 975.0 694.0,824.0 621.0 891.0 654.0,0.6645011305809021,MISISU,0.3236622030254172
50,5,741.0 461.0 977.0 695.0,824.0 623.0 891.0 655.0,0.6722554564476013,LLEIAI,0.09653252007920138
51,5,740.0 461.0 981.0 699.0,825.0 627.0 891.0 657.0,0.6535537242889404,MSIVSU,0.1016638865931401
52,5,741.6666666666666 464.6666666666667 981.3333333333334 701.3333333333334,826.0 629.6666666666666 892.6666666666666 660.3333333333334,0,0,0
53,5,743.3333333333334 468.3333333333333 981.6666666666666 703.6666666666666,827.0 632.3333333333334 894.3333333333334 663.6666666666666,0,0,0
54,5,745.0 472.0 982.0 706.0,828.0 635.0 896.0 667.0,0.6370062828063965,WISLSU,0.34373523470459366
55,5,747.0 477.0 982.0 708.0,829.0 637.0 898.0 670.0,0.6618784666061401,JWISISU,0.07694827995529814
56,5,747.0 480.0 982.0 710.0,829.0 639.0 899.0 671.0,0.6660391092300415,SISU),0.1096222584093516
57,5,748.0 482.0 983.0 712.0,831.0 642.0 899.0 675.0,0.640238881111145,LSIVSU,0.022172621099682592
58,5,747.0 483.0 983.0 714.0,832.0 644.0 898.0 678.0,0.628758430480957,ISSU,0.2570115327835083
59,5,747.0 483.0 982.0 714.0,832.0 646.0 900.0 680.0,0.6468505859375,HSISU,0.1239070726076752
60,5,749.0 484.0 984.0 715.0,831.0 651.0 901.0 685.0,0.6422932744026184,SISU,0.4873194694519043
61,5,750.0 488.0 983.0 714.0,832.0 652.0 904.0 688.0,0.6556783318519592,IELQ,0.0686982274055481
62,5,751.0 490.0 983.0 714.0,834.0 655.0 904.0 689.0,0.6692522168159485,SISU,0.3562135398387909
63,5,753.0 492.0 983.0 714.0,835.0 658.0 905.0 693.0,0.6823899149894714,AASLSU,0.06535744076201729
64,5,756.0 497.0 982.0 714.0,835.0 659.0 907.0 696.0,0.6845594644546509,SLSU,0.08974113315343857
65,5,756.0 497.0 984.0 715.0,835.0 662.0 907.0 697.0,0.6915884017944336,WUSISU,0.13001975196251642
66,5,757.0 499.0 984.0 715.0,837.0 667.0 908.0 701.0,0.6902328729629517,LLAAO,0.0258187242617579
67,5,757.0 500.0 983.0 714.0,840.0 670.0 908.0 703.0,0.7017849087715149,LSSU,0.6043989658355713
68,5,758.0 502.0 984.0 714.0,840.0 673.0 909.0 705.0,0.6802825927734375,LAI,0.12521680744051647
69,5,761.0 505.0 985.0 714.0,841.0 676.0 911.0 709.0,0.6609068512916565,SISU,0.4001566767692566
16,6,401.0 348.0 575.0 493.0,465.0 437.0 503.0 459.0,0.254039466381073,HICO,0.013259178027510643
17,6,400.22222222222223 349.1111111111111 574.8888888888889 494.3333333333333,464.0 438.0 504.3333333333333 460.6666666666667,0,0,0
18,6,399.44444444444446 350.22222222222223 574.7777777777778 495.6666666666667,463.0 439.0 505.6666666666667 462.3333333333333,0,0,0
19,6,398.6666666666667 351.3333333333333 574.6666666666666 497.0,462.0 440.0 507.0 464.0,0,0,0
20,6,397.8888888888889 352.44444444444446 574.5555555555555 498.3333333333333,461.0 441.0 508.3333333333333 465.6666666666667,0,0,0
21,6,397.1111111111111 353.55555555555554 574.4444444444445 499.6666666666667,460.0 442.0 509.6666666666667 467.3333333333333,0,0,0
